============ Start of Season ============
1974-10-17 | w: NYK | L: NOJ
1975-03-29 | w: HOU | L: NOJ
1975-03-29 | w: KCK | L: PHX
1975-03-29 | w: BUF | L: BOS
1975-03-30 | w: LAL | L: PHX
1975-03-30 | w: NYK | L: MIL
1975-03-30 | w: WAS | L: CHI
1975-03-30 | w: SEA | L: POR
1975-03-30 | w: NOJ | L: ATL
1975-04-01 | w: POR | L: LAL
1975-04-01 | w: NYK | L: PHL
1975-04-01 | w: HOU | L: ATL
1975-04-01 | w: MIL | L: DET
1975-04-01 | w: WAS | L: NOJ
1975-04-01 | w: CHI | L: BUF
1975-04-02 | w: BOS | L: BUF
1975-04-02 | w: DET | L: CHI
1975-04-02 | w: WAS | L: HOU
1975-04-02 | w: SEA | L: KCK
1975-04-02 | w: PHX | L: LAL
1975-04-03 | w: CLE | L: NYK
1975-04-04 | w: SEA | L: LAL
1975-04-04 | w: BOS | L: WAS
1975-04-04 | w: CHI | L: NOJ
1975-04-04 | w: GOS | L: PHX
1975-04-04 | w: MIL | L: NYK
1975-04-04 | w: POR | L: KCK
1975-04-04 | w: BUF | L: PHL
1975-04-05 | w: SEA | L: GOS
1975-04-05 | w: MIL | L: DET
1975-04-05 | w: WAS | L: ATL
1975-04-05 | w: BOS | L: PHL
1975-04-06 | w: NYK | L: BUF
1975-04-06 | w: WAS | L: NOJ
1975-04-06 | w: SEA | L: PHX
1975-04-06 | w: CHI | L: MIL
1975-04-06 | w: POR | L: LAL
1975-04-06 | w: KCK | L: CLE
============ End of Regular Season ============
1975-04-08 | w: SEA | L: DET
1975-04-08 | w: HOU | L: NYK
1975-04-09 | w: CHI | L: KCK
1975-04-10 | w: NYK | L: HOU
1975-04-10 | w: DET | L: SEA
1975-04-10 | w: BUF | L: WAS
1975-04-12 | w: SEA | L: DET
1975-04-12 | w: HOU | L: NYK
1975-04-12 | w: WAS | L: BUF
1975-04-13 | w: KCK | L: CHI
1975-04-14 | w: BOS | L: HOU
1975-04-14 | w: GOS | L: SEA
1975-04-16 | w: BOS | L: HOU
1975-04-16 | w: SEA | L: GOS
1975-04-16 | w: WAS | L: BUF
1975-04-16 | w: CHI | L: KCK
1975-04-17 | w: GOS | L: SEA
1975-04-18 | w: BUF | L: WAS
1975-04-18 | w: KCK | L: CHI
1975-04-19 | w: SEA | L: GOS
1975-04-19 | w: HOU | L: BOS
1975-04-20 | w: WAS | L: BUF
1975-04-20 | w: CHI | L: KCK
1975-04-22 | w: GOS | L: SEA
1975-04-22 | w: BOS | L: HOU
1975-04-23 | w: CHI | L: KCK
1975-04-23 | w: BUF | L: WAS
1975-04-24 | w: BOS | L: HOU
1975-04-24 | w: GOS | L: SEA
1975-04-25 | w: WAS | L: BUF
1975-04-27 | w: WAS | L: BOS
1975-04-27 | w: GOS | L: CHI
1975-04-30 | w: WAS | L: BOS
1975-04-30 | w: CHI | L: GOS
1975-05-03 | w: BOS | L: WAS
1975-05-04 | w: CHI | L: GOS
1975-05-06 | w: GOS | L: CHI
1975-05-07 | w: WAS | L: BOS
1975-05-08 | w: CHI | L: GOS
1975-05-09 | w: BOS | L: WAS
1975-05-11 | w: WAS | L: BOS
1975-05-11 | w: GOS | L: CHI
1975-05-14 | w: GOS | L: CHI
1975-05-18 | w: GOS | L: WAS
1975-05-20 | w: GOS | L: WAS
1975-05-23 | w: GOS | L: WAS
1975-05-25 | w: GOS | L: WAS
============ End of Playoffs ============
