============ Start of Season ============
2011-12-25 | w: LAC | L: GSW
2012-03-23 | w: ATL | L: NJN
2012-03-23 | w: TOR | L: NYK
2012-03-23 | w: OKC | L: MIN
2012-03-23 | w: MIL | L: CHA
2012-03-24 | w: GSW | L: SAC
2012-03-24 | w: CHI | L: TOR
2012-03-24 | w: NYK | L: DET
2012-03-24 | w: NJN | L: CHA
2012-03-24 | w: DAL | L: HOU
2012-03-24 | w: LAC | L: MEM
2012-03-24 | w: IND | L: MIL
2012-03-24 | w: SAS | L: NOH
2012-03-24 | w: ATL | L: WAS
2012-03-25 | w: SAS | L: PHI
2012-03-25 | w: MEM | L: LAL
2012-03-25 | w: BOS | L: WAS
2012-03-25 | w: POR | L: GSW
2012-03-25 | w: ATL | L: UTA
2012-03-25 | w: MIN | L: DEN
2012-03-25 | w: OKC | L: MIA
2012-03-25 | w: PHX | L: CLE
2012-03-26 | w: DEN | L: CHI
2012-03-26 | w: NYK | L: MIL
2012-03-26 | w: UTA | L: NJN
2012-03-26 | w: HOU | L: SAC
2012-03-26 | w: LAC | L: NOH
2012-03-26 | w: IND | L: MIA
2012-03-26 | w: DET | L: WAS
2012-03-26 | w: ORL | L: TOR
2012-03-26 | w: BOS | L: CHA
2012-03-27 | w: PHI | L: CLE
2012-03-27 | w: LAL | L: GSW
2012-03-27 | w: SAS | L: PHX
2012-03-27 | w: OKC | L: POR
2012-03-27 | w: MIL | L: ATL
2012-03-27 | w: DAL | L: HOU
2012-03-27 | w: MEM | L: MIN
2012-03-28 | w: NYK | L: ORL
2012-03-28 | w: BOS | L: UTA
2012-03-28 | w: NJN | L: IND
2012-03-28 | w: DET | L: CLE
2012-03-28 | w: LAC | L: PHX
2012-03-28 | w: CHI | L: ATL
2012-03-28 | w: SAS | L: SAC
2012-03-28 | w: TOR | L: DEN
2012-03-28 | w: MIN | L: CHA
2012-03-28 | w: NOH | L: GSW
2012-03-29 | w: OKC | L: LAL
2012-03-29 | w: MIA | L: DAL
2012-03-29 | w: POR | L: NOH
2012-03-29 | w: IND | L: WAS
2012-03-30 | w: NJN | L: GSW
2012-03-30 | w: CHI | L: DET
2012-03-30 | w: HOU | L: MEM
2012-03-30 | w: MIL | L: CLE
2012-03-30 | w: DAL | L: ORL
2012-03-30 | w: LAC | L: POR
2012-03-30 | w: SAC | L: UTA
2012-03-30 | w: ATL | L: NYK
2012-03-30 | w: BOS | L: MIN
2012-03-30 | w: WAS | L: PHI
2012-03-30 | w: MIA | L: TOR
2012-03-30 | w: DEN | L: CHA
2012-03-31 | w: PHI | L: ATL
2012-03-31 | w: SAS | L: IND
2012-03-31 | w: LAL | L: NOH
2012-03-31 | w: NYK | L: CLE
2012-03-31 | w: LAC | L: UTA
2012-03-31 | w: MEM | L: MIL
2012-03-31 | w: NJN | L: SAC
2012-03-31 | w: DET | L: CHA
2012-04-01 | w: LAL | L: GSW
2012-04-01 | w: PHX | L: NOH
2012-04-01 | w: BOS | L: MIA
2012-04-01 | w: IND | L: HOU
2012-04-01 | w: DEN | L: ORL
2012-04-01 | w: POR | L: MIN
2012-04-01 | w: TOR | L: WAS
2012-04-01 | w: OKC | L: CHI
2012-04-02 | w: HOU | L: CHI
2012-04-02 | w: UTA | L: POR
2012-04-02 | w: LAC | L: DAL
2012-04-02 | w: SAC | L: MIN
2012-04-02 | w: MIL | L: WAS
2012-04-02 | w: MEM | L: OKC
2012-04-03 | w: LAL | L: NJN
2012-04-03 | w: SAS | L: CLE
2012-04-03 | w: DET | L: ORL
2012-04-03 | w: MIA | L: PHI
2012-04-03 | w: IND | L: NYK
2012-04-03 | w: PHX | L: SAC
2012-04-03 | w: TOR | L: CHA
2012-04-03 | w: MEM | L: GSW
2012-04-04 | w: TOR | L: PHI
2012-04-04 | w: SAS | L: BOS
2012-04-04 | w: LAL | L: LAC
2012-04-04 | w: MIA | L: OKC
2012-04-04 | w: PHX | L: UTA
2012-04-04 | w: POR | L: NJN
2012-04-04 | w: ATL | L: CHA
2012-04-04 | w: MIL | L: CLE
2012-04-04 | w: DAL | L: MEM
2012-04-04 | w: GSW | L: MIN
2012-04-04 | w: NOH | L: DEN
2012-04-04 | w: IND | L: WAS
2012-04-05 | w: CHI | L: BOS
2012-04-05 | w: NYK | L: ORL
2012-04-05 | w: DET | L: WAS
2012-04-05 | w: LAC | L: SAC
2012-04-06 | w: SAS | L: NOH
2012-04-06 | w: HOU | L: LAL
2012-04-06 | w: NJN | L: WAS
2012-04-06 | w: MEM | L: MIA
2012-04-06 | w: UTA | L: GSW
2012-04-06 | w: IND | L: OKC
2012-04-06 | w: MIL | L: CHA
2012-04-06 | w: POR | L: DAL
2012-04-06 | w: DEN | L: PHX
2012-04-06 | w: CLE | L: TOR
2012-04-06 | w: ATL | L: DET
2012-04-07 | w: ORL | L: PHI
2012-04-07 | w: GSW | L: DEN
2012-04-07 | w: PHX | L: LAL
2012-04-07 | w: LAC | L: SAC
2012-04-07 | w: BOS | L: IND
2012-04-07 | w: MIL | L: POR
2012-04-07 | w: NOH | L: MIN
2012-04-07 | w: MEM | L: DAL
2012-04-07 | w: ATL | L: CHA
2012-04-08 | w: SAS | L: UTA
2012-04-08 | w: NYK | L: CHI
2012-04-08 | w: BOS | L: PHI
2012-04-08 | w: NJN | L: CLE
2012-04-08 | w: MIA | L: DET
2012-04-08 | w: HOU | L: SAC
2012-04-08 | w: OKC | L: TOR
2012-04-09 | w: ORL | L: DET
2012-04-09 | w: HOU | L: POR
2012-04-09 | w: UTA | L: SAS
2012-04-09 | w: IND | L: TOR
2012-04-09 | w: OKC | L: MIL
2012-04-09 | w: PHX | L: MIN
2012-04-09 | w: DEN | L: GSW
2012-04-09 | w: LAL | L: NOH
2012-04-09 | w: MEM | L: LAC
2012-04-09 | w: WAS | L: CHA
2012-04-10 | w: CHI | L: NYK
2012-04-10 | w: PHI | L: NJN
2012-04-10 | w: CLE | L: CHA
2012-04-10 | w: BOS | L: MIA
2012-04-10 | w: DAL | L: SAC
2012-04-10 | w: WAS | L: ORL
2012-04-11 | w: LAL | L: SAS
2012-04-11 | w: BOS | L: ATL
2012-04-11 | w: IND | L: CLE
2012-04-11 | w: UTA | L: HOU
2012-04-11 | w: POR | L: GSW
2012-04-11 | w: NYK | L: MIL
2012-04-11 | w: DEN | L: MIN
2012-04-11 | w: NOH | L: SAC
2012-04-11 | w: PHI | L: TOR
2012-04-11 | w: MEM | L: PHX
2012-04-11 | w: LAC | L: OKC
2012-04-12 | w: DAL | L: GSW
2012-04-12 | w: SAS | L: MEM
2012-04-12 | w: CHI | L: MIA
2012-04-12 | w: LAC | L: MIN
2012-04-12 | w: DET | L: CHA
2012-04-13 | w: NJN | L: PHI
2012-04-13 | w: LAL | L: DEN
2012-04-13 | w: NYK | L: WAS
2012-04-13 | w: PHX | L: HOU
2012-04-13 | w: ATL | L: ORL
2012-04-13 | w: MIL | L: DET
2012-04-13 | w: MIA | L: CHA
2012-04-13 | w: DAL | L: POR
2012-04-13 | w: IND | L: CLE
2012-04-13 | w: NOH | L: UTA
2012-04-13 | w: TOR | L: BOS
2012-04-13 | w: OKC | L: SAC
2012-04-14 | w: SAS | L: PHX
2012-04-14 | w: BOS | L: NJN
2012-04-14 | w: LAC | L: GSW
2012-04-14 | w: IND | L: MIL
2012-04-14 | w: OKC | L: MIN
2012-04-14 | w: CLE | L: WAS
2012-04-14 | w: MEM | L: UTA
2012-04-15 | w: LAL | L: DAL
2012-04-15 | w: MIA | L: NYK
2012-04-15 | w: ORL | L: CLE
2012-04-15 | w: CHI | L: DET
2012-04-15 | w: TOR | L: ATL
2012-04-15 | w: SAC | L: POR
2012-04-15 | w: DEN | L: HOU
2012-04-15 | w: NOH | L: MEM
2012-04-15 | w: BOS | L: CHA
2012-04-16 | w: SAS | L: GSW
2012-04-16 | w: WAS | L: CHI
2012-04-16 | w: PHX | L: POR
2012-04-16 | w: MIA | L: NJN
2012-04-16 | w: DEN | L: HOU
2012-04-16 | w: ORL | L: PHI
2012-04-16 | w: LAC | L: OKC
2012-04-16 | w: UTA | L: DAL
2012-04-16 | w: IND | L: MIN
2012-04-16 | w: ATL | L: TOR
2012-04-16 | w: NOH | L: CHA
2012-04-17 | w: IND | L: PHI
2012-04-17 | w: SAS | L: LAL
2012-04-17 | w: NYK | L: BOS
2012-04-17 | w: DET | L: CLE
2012-04-17 | w: MEM | L: MIN
2012-04-18 | w: LAL | L: GSW
2012-04-18 | w: OKC | L: PHX
2012-04-18 | w: BOS | L: ORL
2012-04-18 | w: NYK | L: NJN
2012-04-18 | w: PHI | L: CLE
2012-04-18 | w: MIA | L: TOR
2012-04-18 | w: UTA | L: POR
2012-04-18 | w: ATL | L: DET
2012-04-18 | w: DAL | L: HOU
2012-04-18 | w: SAS | L: SAC
2012-04-18 | w: LAC | L: DEN
2012-04-18 | w: WAS | L: MIL
2012-04-18 | w: MEM | L: NOH
2012-04-18 | w: CHI | L: CHA
2012-04-19 | w: PHX | L: LAC
2012-04-19 | w: MIN | L: DET
2012-04-19 | w: MIA | L: CHI
2012-04-19 | w: IND | L: MIL
2012-04-19 | w: NOH | L: HOU
2012-04-20 | w: SAS | L: LAL
2012-04-20 | w: CLE | L: NYK
2012-04-20 | w: ATL | L: BOS
2012-04-20 | w: DAL | L: GSW
2012-04-20 | w: OKC | L: SAC
2012-04-20 | w: MEM | L: CHA
2012-04-21 | w: CHI | L: DAL
2012-04-21 | w: DEN | L: PHX
2012-04-21 | w: HOU | L: GSW
2012-04-21 | w: WAS | L: MIA
2012-04-21 | w: UTA | L: ORL
2012-04-21 | w: PHI | L: IND
2012-04-21 | w: MIL | L: NJN
2012-04-21 | w: MEM | L: POR
2012-04-22 | w: SAS | L: CLE
2012-04-22 | w: LAL | L: OKC
2012-04-22 | w: LAC | L: NOH
2012-04-22 | w: DET | L: TOR
2012-04-22 | w: MIA | L: HOU
2012-04-22 | w: NYK | L: ATL
2012-04-22 | w: DEN | L: ORL
2012-04-22 | w: GSW | L: MIN
2012-04-22 | w: SAC | L: CHA
2012-04-23 | w: SAS | L: POR
2012-04-23 | w: PHI | L: NJN
2012-04-23 | w: IND | L: DET
2012-04-23 | w: MIL | L: TOR
2012-04-23 | w: WAS | L: CHA
2012-04-23 | w: MEM | L: CLE
2012-04-24 | w: NOH | L: GSW
2012-04-24 | w: BOS | L: MIA
2012-04-24 | w: UTA | L: PHX
2012-04-24 | w: ATL | L: LAC
2012-04-24 | w: OKC | L: SAC
2012-04-25 | w: NYK | L: LAC
2012-04-25 | w: SAS | L: PHX
2012-04-25 | w: WAS | L: CLE
2012-04-25 | w: ORL | L: CHA
2012-04-25 | w: CHI | L: IND
2012-04-25 | w: PHI | L: MIL
2012-04-25 | w: DEN | L: OKC
2012-04-26 | w: SAS | L: GSW
2012-04-26 | w: CHI | L: CLE
2012-04-26 | w: BOS | L: MIL
2012-04-26 | w: HOU | L: NOH
2012-04-26 | w: DET | L: PHI
2012-04-26 | w: UTA | L: POR
2012-04-26 | w: ATL | L: DAL
2012-04-26 | w: SAC | L: LAL
2012-04-26 | w: DEN | L: MIN
2012-04-26 | w: WAS | L: MIA
2012-04-26 | w: TOR | L: NJN
2012-04-26 | w: MEM | L: ORL
2012-04-26 | w: NYK | L: CHA
============ End of Regular Season ============
2012-04-28 | w: CHI | L: PHI
2012-04-28 | w: MIA | L: NYK
2012-04-28 | w: ORL | L: IND
2012-04-28 | w: OKC | L: DAL
2012-04-29 | w: SAS | L: UTA
2012-04-29 | w: LAL | L: DEN
2012-04-29 | w: ATL | L: BOS
2012-04-29 | w: LAC | L: MEM
2012-04-30 | w: MIA | L: NYK
2012-04-30 | w: IND | L: ORL
2012-04-30 | w: OKC | L: DAL
2012-05-01 | w: LAL | L: DEN
2012-05-01 | w: PHI | L: CHI
2012-05-01 | w: BOS | L: ATL
2012-05-02 | w: SAS | L: UTA
2012-05-02 | w: IND | L: ORL
2012-05-02 | w: MEM | L: LAC
2012-05-03 | w: MIA | L: NYK
2012-05-03 | w: OKC | L: DAL
2012-05-04 | w: PHI | L: CHI
2012-05-04 | w: BOS | L: ATL
2012-05-04 | w: DEN | L: LAL
2012-05-05 | w: IND | L: ORL
2012-05-05 | w: LAC | L: MEM
2012-05-05 | w: SAS | L: UTA
2012-05-05 | w: OKC | L: DAL
2012-05-06 | w: PHI | L: CHI
2012-05-06 | w: NYK | L: MIA
2012-05-06 | w: BOS | L: ATL
2012-05-06 | w: LAL | L: DEN
2012-05-07 | w: LAC | L: MEM
2012-05-07 | w: SAS | L: UTA
2012-05-08 | w: DEN | L: LAL
2012-05-08 | w: CHI | L: PHI
2012-05-08 | w: IND | L: ORL
2012-05-08 | w: ATL | L: BOS
2012-05-09 | w: MIA | L: NYK
2012-05-09 | w: MEM | L: LAC
2012-05-10 | w: PHI | L: CHI
2012-05-10 | w: BOS | L: ATL
2012-05-10 | w: DEN | L: LAL
2012-05-11 | w: MEM | L: LAC
2012-05-12 | w: LAL | L: DEN
2012-05-12 | w: BOS | L: PHI
2012-05-13 | w: MIA | L: IND
2012-05-13 | w: LAC | L: MEM
2012-05-14 | w: PHI | L: BOS
2012-05-14 | w: OKC | L: LAL
2012-05-15 | w: SAS | L: LAC
2012-05-15 | w: IND | L: MIA
2012-05-16 | w: BOS | L: PHI
2012-05-16 | w: OKC | L: LAL
2012-05-17 | w: SAS | L: LAC
2012-05-17 | w: IND | L: MIA
2012-05-18 | w: PHI | L: BOS
2012-05-18 | w: LAL | L: OKC
2012-05-19 | w: OKC | L: LAL
2012-05-19 | w: SAS | L: LAC
2012-05-20 | w: SAS | L: LAC
2012-05-20 | w: MIA | L: IND
2012-05-21 | w: BOS | L: PHI
2012-05-21 | w: OKC | L: LAL
2012-05-22 | w: MIA | L: IND
2012-05-23 | w: PHI | L: BOS
2012-05-24 | w: MIA | L: IND
2012-05-26 | w: BOS | L: PHI
2012-05-27 | w: SAS | L: OKC
2012-05-28 | w: MIA | L: BOS
2012-05-29 | w: SAS | L: OKC
2012-05-30 | w: MIA | L: BOS
2012-05-31 | w: OKC | L: SAS
2012-06-01 | w: BOS | L: MIA
2012-06-02 | w: OKC | L: SAS
2012-06-03 | w: BOS | L: MIA
2012-06-04 | w: OKC | L: SAS
2012-06-05 | w: BOS | L: MIA
2012-06-06 | w: OKC | L: SAS
2012-06-07 | w: MIA | L: BOS
2012-06-09 | w: MIA | L: BOS
2012-06-12 | w: OKC | L: MIA
2012-06-14 | w: MIA | L: OKC
2012-06-17 | w: MIA | L: OKC
2012-06-19 | w: MIA | L: OKC
2012-06-21 | w: MIA | L: OKC
============ End of Playoffs ============
