============ Start of Season ============
1976-10-21 | w: HOU | L: ATL
1977-03-06 | w: HOU | L: NYN
1977-03-06 | w: BOS | L: DEN
1977-03-07 | w: HOU | L: BUF
1977-03-08 | w: ATL | L: PHL
1977-03-08 | w: GOS | L: CLE
1977-03-08 | w: DEN | L: NYK
1977-03-08 | w: DET | L: MIL
1977-03-08 | w: SEA | L: NOJ
1977-03-08 | w: SAN | L: PHX
1977-03-08 | w: BUF | L: POR
1977-03-09 | w: SEA | L: BOS
1977-03-09 | w: HOU | L: PHX
1977-03-09 | w: MIL | L: WAS
1977-03-09 | w: PHL | L: DEN
1977-03-10 | w: NYK | L: POR
1977-03-10 | w: SAN | L: CLE
1977-03-11 | w: LAL | L: WAS
1977-03-11 | w: ATL | L: DEN
1977-03-11 | w: PHL | L: SEA
1977-03-11 | w: KCK | L: POR
1977-03-11 | w: HOU | L: IND
1977-03-11 | w: NYN | L: PHX
1977-03-11 | w: BUF | L: CHI
1977-03-12 | w: SEA | L: NYK
1977-03-12 | w: HOU | L: NOJ
1977-03-12 | w: MIL | L: IND
1977-03-13 | w: CLE | L: ATL
1977-03-13 | w: BOS | L: PHX
1977-03-13 | w: GOS | L: WAS
1977-03-13 | w: CHI | L: PHL
1977-03-13 | w: DET | L: SAN
1977-03-13 | w: KCK | L: IND
1977-03-13 | w: LAL | L: NYN
1977-03-13 | w: BUF | L: DEN
1977-03-14 | w: MIL | L: LAL
1977-03-15 | w: CHI | L: BOS
1977-03-15 | w: POR | L: NOJ
1977-03-15 | w: PHL | L: CLE
1977-03-15 | w: KCK | L: WAS
1977-03-15 | w: SAN | L: NYN
1977-03-15 | w: DEN | L: LAL
1977-03-16 | w: CHI | L: DET
1977-03-16 | w: SEA | L: WAS
1977-03-16 | w: HOU | L: NYN
1977-03-16 | w: PHX | L: NYK
1977-03-16 | w: PHL | L: ATL
1977-03-16 | w: IND | L: DEN
1977-03-17 | w: POR | L: GOS
1977-03-17 | w: MIL | L: BOS
1977-03-17 | w: HOU | L: CLE
1977-03-17 | w: KCK | L: BUF
1977-03-17 | w: NYK | L: DEN
1977-03-18 | w: LAL | L: GOS
1977-03-18 | w: BOS | L: ATL
1977-03-18 | w: SEA | L: DET
1977-03-18 | w: CHI | L: KCK
1977-03-18 | w: NOJ | L: PHX
1977-03-18 | w: POR | L: IND
1977-03-18 | w: PHL | L: HOU
1977-03-18 | w: CLE | L: NYN
1977-03-19 | w: GOS | L: IND
1977-03-19 | w: NYK | L: ATL
1977-03-19 | w: HOU | L: BUF
1977-03-19 | w: CHI | L: SEA
1977-03-19 | w: CLE | L: SAN
1977-03-20 | w: LAL | L: NOJ
1977-03-20 | w: BOS | L: KCK
1977-03-20 | w: WAS | L: SAN
1977-03-20 | w: PHX | L: POR
1977-03-20 | w: SEA | L: MIL
1977-03-20 | w: CLE | L: BUF
1977-03-20 | w: DEN | L: DET
1977-03-20 | w: PHL | L: NYN
1977-03-22 | w: NYK | L: MIL
1977-03-22 | w: HOU | L: IND
1977-03-22 | w: CHI | L: LAL
1977-03-22 | w: CLE | L: SEA
1977-03-22 | w: KCK | L: GOS
1977-03-22 | w: NOJ | L: POR
1977-03-22 | w: BOS | L: SAN
1977-03-22 | w: ATL | L: BUF
1977-03-23 | w: BOS | L: ATL
1977-03-23 | w: NOJ | L: DET
1977-03-23 | w: WAS | L: CLE
1977-03-23 | w: HOU | L: POR
1977-03-23 | w: GOS | L: PHL
1977-03-23 | w: SAN | L: DEN
1977-03-23 | w: LAL | L: IND
1977-03-23 | w: KCK | L: NYN
1977-03-24 | w: BUF | L: PHX
1977-03-24 | w: NOJ | L: CLE
1977-03-24 | w: SAN | L: HOU
1977-03-25 | w: LAL | L: PHX
1977-03-25 | w: WAS | L: BOS
1977-03-25 | w: DET | L: GOS
1977-03-25 | w: CHI | L: NYK
1977-03-25 | w: MIL | L: DEN
1977-03-25 | w: PHL | L: SAN
1977-03-25 | w: IND | L: ATL
1977-03-25 | w: POR | L: NYN
1977-03-25 | w: NOJ | L: KCK
1977-03-26 | w: WAS | L: NYK
1977-03-26 | w: HOU | L: KCK
1977-03-26 | w: MIL | L: DET
1977-03-26 | w: LAL | L: PHX
1977-03-26 | w: CLE | L: ATL
1977-03-27 | w: LAL | L: BUF
1977-03-27 | w: BOS | L: NYN
1977-03-27 | w: DET | L: HOU
1977-03-27 | w: NYK | L: WAS
1977-03-27 | w: PHX | L: SEA
1977-03-27 | w: CHI | L: CLE
1977-03-27 | w: PHL | L: POR
1977-03-27 | w: SAN | L: KCK
1977-03-27 | w: DEN | L: GOS
1977-03-27 | w: NOJ | L: IND
1977-03-29 | w: LAL | L: SEA
1977-03-29 | w: GOS | L: HOU
1977-03-29 | w: PHL | L: CHI
1977-03-29 | w: PHX | L: MIL
1977-03-29 | w: CLE | L: BOS
1977-03-29 | w: POR | L: BUF
1977-03-29 | w: KCK | L: NYK
1977-03-29 | w: SAN | L: WAS
1977-03-29 | w: NOJ | L: NYN
1977-03-29 | w: DEN | L: IND
1977-03-30 | w: BOS | L: CHI
1977-03-30 | w: WAS | L: ATL
1977-03-30 | w: SEA | L: HOU
1977-03-30 | w: PHL | L: DET
1977-03-30 | w: NOJ | L: PHX
1977-03-31 | w: ATL | L: NYN
1977-03-31 | w: GOS | L: SAN
1977-03-31 | w: DEN | L: BUF
1977-03-31 | w: NYK | L: IND
1977-04-01 | w: LAL | L: SAN
1977-04-01 | w: HOU | L: WAS
1977-04-01 | w: CHI | L: DEN
1977-04-01 | w: PHX | L: DET
1977-04-01 | w: NYK | L: MIL
1977-04-01 | w: POR | L: GOS
1977-04-01 | w: CLE | L: NOJ
1977-04-01 | w: IND | L: NYN
1977-04-01 | w: PHL | L: KCK
1977-04-02 | w: IND | L: ATL
1977-04-02 | w: SEA | L: GOS
1977-04-02 | w: HOU | L: CLE
1977-04-02 | w: BUF | L: MIL
1977-04-03 | w: BOS | L: PHL
1977-04-03 | w: NYK | L: BUF
1977-04-03 | w: WAS | L: NYN
1977-04-03 | w: POR | L: SEA
1977-04-03 | w: DEN | L: PHX
1977-04-03 | w: CLE | L: KCK
1977-04-03 | w: ATL | L: SAN
1977-04-03 | w: CHI | L: NOJ
1977-04-03 | w: MIL | L: IND
1977-04-03 | w: LAL | L: DET
1977-04-05 | w: GOS | L: LAL
1977-04-05 | w: NYK | L: BOS
1977-04-05 | w: NYN | L: SEA
1977-04-05 | w: CHI | L: BUF
1977-04-05 | w: PHX | L: ATL
1977-04-05 | w: POR | L: DET
1977-04-05 | w: IND | L: KCK
1977-04-05 | w: PHL | L: NOJ
1977-04-05 | w: WAS | L: CLE
1977-04-06 | w: HOU | L: BOS
1977-04-06 | w: WAS | L: CHI
1977-04-06 | w: SAN | L: PHL
1977-04-06 | w: DEN | L: ATL
1977-04-06 | w: BUF | L: NOJ
1977-04-07 | w: GOS | L: NYN
1977-04-07 | w: IND | L: NYK
1977-04-07 | w: PHX | L: KCK
1977-04-07 | w: CLE | L: DEN
1977-04-08 | w: LAL | L: NYN
1977-04-08 | w: BOS | L: NOJ
1977-04-08 | w: DET | L: PHL
1977-04-08 | w: SEA | L: KCK
1977-04-08 | w: CHI | L: HOU
1977-04-08 | w: MIL | L: ATL
1977-04-08 | w: POR | L: PHX
1977-04-08 | w: NYK | L: BUF
1977-04-09 | w: BOS | L: SAN
1977-04-09 | w: GOS | L: KCK
1977-04-09 | w: DEN | L: HOU
1977-04-09 | w: POR | L: LAL
1977-04-09 | w: PHL | L: WAS
1977-04-09 | w: DET | L: CLE
1977-04-10 | w: BOS | L: CLE
1977-04-10 | w: NYK | L: DET
1977-04-10 | w: WAS | L: PHL
1977-04-10 | w: LAL | L: SEA
1977-04-10 | w: PHX | L: NYN
1977-04-10 | w: MIL | L: SAN
1977-04-10 | w: NOJ | L: DEN
1977-04-10 | w: CHI | L: BUF
============ End of Regular Season ============
1977-04-12 | w: BOS | L: SAN
1977-04-12 | w: DET | L: GOS
1977-04-12 | w: POR | L: CHI
1977-04-13 | w: WAS | L: CLE
1977-04-14 | w: GOS | L: DET
1977-04-15 | w: CHI | L: POR
1977-04-15 | w: CLE | L: WAS
1977-04-15 | w: BOS | L: SAN
1977-04-17 | w: GOS | L: DET
1977-04-17 | w: WAS | L: CLE
1977-04-17 | w: POR | L: CHI
1977-04-17 | w: BOS | L: PHL
1977-04-19 | w: WAS | L: HOU
1977-04-20 | w: LAL | L: GOS
1977-04-20 | w: PHL | L: BOS
1977-04-20 | w: POR | L: DEN
1977-04-21 | w: HOU | L: WAS
1977-04-22 | w: LAL | L: GOS
1977-04-22 | w: PHL | L: BOS
1977-04-22 | w: DEN | L: POR
1977-04-24 | w: BOS | L: PHL
1977-04-24 | w: GOS | L: LAL
1977-04-24 | w: WAS | L: HOU
1977-04-24 | w: POR | L: DEN
1977-04-26 | w: GOS | L: LAL
1977-04-26 | w: HOU | L: WAS
1977-04-26 | w: POR | L: DEN
1977-04-27 | w: PHL | L: BOS
1977-04-29 | w: LAL | L: GOS
1977-04-29 | w: BOS | L: PHL
1977-04-29 | w: HOU | L: WAS
1977-05-01 | w: GOS | L: LAL
1977-05-01 | w: HOU | L: WAS
1977-05-01 | w: PHL | L: BOS
1977-05-01 | w: DEN | L: POR
1977-05-02 | w: POR | L: DEN
1977-05-04 | w: LAL | L: GOS
1977-05-05 | w: PHL | L: HOU
1977-05-06 | w: POR | L: LAL
1977-05-08 | w: POR | L: LAL
1977-05-08 | w: PHL | L: HOU
1977-05-10 | w: POR | L: LAL
1977-05-11 | w: HOU | L: PHL
1977-05-13 | w: PHL | L: HOU
1977-05-13 | w: POR | L: LAL
1977-05-15 | w: HOU | L: PHL
1977-05-17 | w: PHL | L: HOU
1977-05-22 | w: PHL | L: POR
1977-05-26 | w: PHL | L: POR
1977-05-29 | w: POR | L: PHL
1977-05-31 | w: POR | L: PHL
1977-06-03 | w: POR | L: PHL
1977-06-05 | w: POR | L: PHL
============ End of Playoffs ============
