============ Start of Season ============
1975-10-23 | w: ATL | L: NOJ
1976-04-04 | w: DET | L: PHL
1976-04-04 | w: SEA | L: PHX
1976-04-04 | w: CLE | L: ATL
1976-04-04 | w: NOJ | L: WAS
1976-04-05 | w: WAS | L: ATL
1976-04-05 | w: MIL | L: CHI
1976-04-05 | w: PHL | L: HOU
1976-04-06 | w: CLE | L: BOS
1976-04-06 | w: POR | L: LAL
1976-04-06 | w: NYK | L: BUF
1976-04-06 | w: GOS | L: PHX
1976-04-07 | w: DET | L: MIL
1976-04-07 | w: SEA | L: CHI
1976-04-07 | w: WAS | L: HOU
1976-04-07 | w: PHL | L: NOJ
1976-04-08 | w: GOS | L: POR
1976-04-08 | w: BUF | L: NYK
1976-04-08 | w: PHX | L: LAL
1976-04-08 | w: CLE | L: NOJ
1976-04-08 | w: KCK | L: BOS
1976-04-09 | w: MIL | L: BOS
1976-04-09 | w: DET | L: ATL
1976-04-09 | w: SEA | L: GOS
1976-04-09 | w: POR | L: CHI
1976-04-09 | w: PHL | L: KCK
1976-04-09 | w: NOJ | L: HOU
1976-04-10 | w: ATL | L: PHL
1976-04-10 | w: HOU | L: DET
1976-04-10 | w: PHX | L: SEA
1976-04-10 | w: CLE | L: NYK
1976-04-11 | w: HOU | L: ATL
1976-04-11 | w: NYK | L: CLE
1976-04-11 | w: BOS | L: WAS
1976-04-11 | w: SEA | L: POR
1976-04-11 | w: CHI | L: MIL
1976-04-11 | w: NOJ | L: DET
1976-04-11 | w: BUF | L: KCK
============ End of Regular Season ============
1976-04-13 | w: SEA | L: PHX
1976-04-13 | w: MIL | L: DET
1976-04-13 | w: WAS | L: CLE
1976-04-15 | w: DET | L: MIL
1976-04-15 | w: CLE | L: WAS
1976-04-15 | w: PHX | L: SEA
1976-04-15 | w: BUF | L: PHL
1976-04-16 | w: PHL | L: BUF
1976-04-17 | w: CLE | L: WAS
1976-04-18 | w: PHX | L: SEA
1976-04-18 | w: DET | L: MIL
1976-04-18 | w: BUF | L: PHL
1976-04-20 | w: GOS | L: DET
1976-04-20 | w: PHX | L: SEA
1976-04-21 | w: BOS | L: BUF
1976-04-21 | w: WAS | L: CLE
1976-04-22 | w: DET | L: GOS
1976-04-22 | w: CLE | L: WAS
1976-04-23 | w: BOS | L: BUF
1976-04-24 | w: GOS | L: DET
1976-04-25 | w: SEA | L: PHX
1976-04-25 | w: BUF | L: BOS
1976-04-26 | w: DET | L: GOS
1976-04-26 | w: WAS | L: CLE
1976-04-27 | w: PHX | L: SEA
1976-04-28 | w: GOS | L: DET
1976-04-28 | w: BUF | L: BOS
1976-04-29 | w: CLE | L: WAS
1976-04-30 | w: BOS | L: BUF
1976-04-30 | w: GOS | L: DET
1976-05-02 | w: GOS | L: PHX
1976-05-02 | w: BOS | L: BUF
1976-05-05 | w: PHX | L: GOS
1976-05-06 | w: BOS | L: CLE
1976-05-07 | w: GOS | L: PHX
1976-05-09 | w: BOS | L: CLE
1976-05-09 | w: PHX | L: GOS
1976-05-11 | w: CLE | L: BOS
1976-05-12 | w: GOS | L: PHX
1976-05-14 | w: PHX | L: GOS
1976-05-14 | w: CLE | L: BOS
1976-05-16 | w: BOS | L: CLE
1976-05-16 | w: PHX | L: GOS
1976-05-18 | w: BOS | L: CLE
1976-05-23 | w: BOS | L: PHX
1976-05-27 | w: BOS | L: PHX
1976-05-30 | w: PHX | L: BOS
1976-06-02 | w: PHX | L: BOS
1976-06-04 | w: BOS | L: PHX
1976-06-06 | w: BOS | L: PHX
============ End of Playoffs ============
