============ Start of Season ============
1974-10-17 | w: NYK | L: UTA
1975-03-30 | w: NYK | L: MIL
1975-03-30 | w: WAS | L: CHI
1975-03-30 | w: OKC | L: POR
1975-03-30 | w: UTA | L: ATL
1975-04-01 | w: POR | L: LAL
1975-04-01 | w: NYK | L: PHI
1975-04-01 | w: HOU | L: ATL
1975-04-01 | w: MIL | L: DET
1975-04-01 | w: WAS | L: UTA
1975-04-01 | w: CHI | L: LAC
1975-04-02 | w: BOS | L: LAC
1975-04-02 | w: DET | L: CHI
1975-04-02 | w: WAS | L: HOU
1975-04-02 | w: OKC | L: SAC
1975-04-02 | w: PHX | L: LAL
1975-04-03 | w: CLE | L: NYK
1975-04-04 | w: OKC | L: LAL
1975-04-04 | w: BOS | L: WAS
1975-04-04 | w: CHI | L: UTA
1975-04-04 | w: GSW | L: PHX
1975-04-04 | w: MIL | L: NYK
1975-04-04 | w: POR | L: SAC
1975-04-04 | w: LAC | L: PHI
1975-04-05 | w: OKC | L: GSW
1975-04-05 | w: MIL | L: DET
1975-04-05 | w: WAS | L: ATL
1975-04-05 | w: BOS | L: PHI
1975-04-06 | w: NYK | L: LAC
1975-04-06 | w: WAS | L: UTA
1975-04-06 | w: OKC | L: PHX
1975-04-06 | w: CHI | L: MIL
1975-04-06 | w: POR | L: LAL
1975-04-06 | w: SAC | L: CLE
============ End of Regular Season ============
1975-04-08 | w: OKC | L: DET
1975-04-08 | w: HOU | L: NYK
1975-04-09 | w: CHI | L: SAC
1975-04-10 | w: NYK | L: HOU
1975-04-10 | w: DET | L: OKC
1975-04-10 | w: LAC | L: WAS
1975-04-12 | w: OKC | L: DET
1975-04-12 | w: HOU | L: NYK
1975-04-12 | w: WAS | L: LAC
1975-04-13 | w: SAC | L: CHI
1975-04-14 | w: BOS | L: HOU
1975-04-14 | w: GSW | L: OKC
1975-04-16 | w: BOS | L: HOU
1975-04-16 | w: OKC | L: GSW
1975-04-16 | w: WAS | L: LAC
1975-04-16 | w: CHI | L: SAC
1975-04-17 | w: GSW | L: OKC
1975-04-18 | w: LAC | L: WAS
1975-04-18 | w: SAC | L: CHI
1975-04-19 | w: OKC | L: GSW
1975-04-19 | w: HOU | L: BOS
1975-04-20 | w: WAS | L: LAC
1975-04-20 | w: CHI | L: SAC
1975-04-22 | w: GSW | L: OKC
1975-04-22 | w: BOS | L: HOU
1975-04-23 | w: CHI | L: SAC
1975-04-23 | w: LAC | L: WAS
1975-04-24 | w: BOS | L: HOU
1975-04-24 | w: GSW | L: OKC
1975-04-25 | w: WAS | L: LAC
1975-04-27 | w: WAS | L: BOS
1975-04-27 | w: GSW | L: CHI
1975-04-30 | w: WAS | L: BOS
1975-04-30 | w: CHI | L: GSW
1975-05-03 | w: BOS | L: WAS
1975-05-04 | w: CHI | L: GSW
1975-05-06 | w: GSW | L: CHI
1975-05-07 | w: WAS | L: BOS
1975-05-08 | w: CHI | L: GSW
1975-05-09 | w: BOS | L: WAS
1975-05-11 | w: WAS | L: BOS
1975-05-11 | w: GSW | L: CHI
1975-05-14 | w: GSW | L: CHI
1975-05-18 | w: GSW | L: WAS
1975-05-20 | w: GSW | L: WAS
1975-05-23 | w: GSW | L: WAS
1975-05-25 | w: GSW | L: WAS
============ End of Playoffs ============
