============ Start of Season ============
1993-11-05 | w: PHI | L: WAS
1994-02-24 | w: PHX | L: MIN
1994-02-25 | w: MIA | L: PHI
1994-02-25 | w: SAS | L: LAL
1994-02-25 | w: CLE | L: GSW
1994-02-25 | w: LAC | L: SAC
1994-02-25 | w: ORL | L: BKN
1994-02-25 | w: IND | L: DET
1994-02-25 | w: UTA | L: PHX
1994-02-25 | w: ATL | L: MIL
1994-02-25 | w: DEN | L: NYK
1994-02-25 | w: OKC | L: BOS
1994-02-25 | w: CHI | L: WAS
1994-02-26 | w: POR | L: SAS
1994-02-26 | w: ATL | L: PHI
1994-02-26 | w: IND | L: CHI
1994-02-26 | w: CLE | L: DAL
1994-02-26 | w: UTA | L: HOU
1994-02-26 | w: MIA | L: DET
1994-02-26 | w: MIL | L: WAS
1994-02-27 | w: LAL | L: BOS
1994-02-27 | w: PHX | L: NYK
1994-02-27 | w: BKN | L: DAL
1994-02-27 | w: ORL | L: CHA
1994-02-27 | w: OKC | L: LAC
1994-02-27 | w: POR | L: DEN
1994-02-27 | w: MIN | L: GSW
1994-02-28 | w: CLE | L: CHI
1994-02-28 | w: UTA | L: HOU
1994-03-01 | w: WAS | L: PHI
1994-03-01 | w: GSW | L: LAC
1994-03-01 | w: BKN | L: DET
1994-03-01 | w: HOU | L: ORL
1994-03-01 | w: ATL | L: MIN
1994-03-01 | w: IND | L: POR
1994-03-01 | w: MIA | L: MIL
1994-03-01 | w: NYK | L: SAC
1994-03-01 | w: OKC | L: CHA
1994-03-02 | w: UTA | L: SAS
1994-03-02 | w: LAL | L: CHI
1994-03-02 | w: CLE | L: BOS
1994-03-02 | w: LAC | L: CHA
1994-03-02 | w: POR | L: DET
1994-03-02 | w: MIA | L: MIN
1994-03-03 | w: GSW | L: PHX
1994-03-03 | w: NYK | L: BKN
1994-03-03 | w: CLE | L: PHI
1994-03-03 | w: ORL | L: DAL
1994-03-03 | w: ATL | L: WAS
1994-03-04 | w: SAS | L: LAC
1994-03-04 | w: POR | L: CHI
1994-03-04 | w: PHX | L: MIN
1994-03-04 | w: BOS | L: LAL
1994-03-04 | w: IND | L: BKN
1994-03-04 | w: DEN | L: ORL
1994-03-05 | w: GSW | L: CHA
1994-03-05 | w: HOU | L: LAC
1994-03-05 | w: MIA | L: PHI
1994-03-05 | w: MIL | L: DET
1994-03-05 | w: ATL | L: IND
1994-03-05 | w: UTA | L: DAL
1994-03-05 | w: OKC | L: SAC
1994-03-05 | w: WAS | L: LAL
1994-03-06 | w: SAS | L: ORL
1994-03-06 | w: UTA | L: PHX
1994-03-06 | w: BKN | L: PHI
1994-03-06 | w: CLE | L: CHI
1994-03-06 | w: OKC | L: SAC
1994-03-06 | w: DEN | L: MIN
1994-03-07 | w: BOS | L: MIA
1994-03-07 | w: NYK | L: DET
1994-03-07 | w: POR | L: GSW
1994-03-07 | w: LAL | L: MIL
1994-03-08 | w: SAS | L: HOU
1994-03-08 | w: CHI | L: ATL
1994-03-08 | w: CLE | L: SAC
1994-03-08 | w: ORL | L: DEN
1994-03-08 | w: UTA | L: MIN
1994-03-08 | w: LAC | L: DAL
1994-03-08 | w: CHA | L: PHX
1994-03-08 | w: OKC | L: GSW
1994-03-09 | w: ORL | L: PHI
1994-03-09 | w: DET | L: BKN
1994-03-09 | w: MIA | L: DEN
1994-03-09 | w: POR | L: UTA
1994-03-09 | w: NYK | L: ATL
1994-03-09 | w: IND | L: MIL
1994-03-09 | w: SAC | L: MIN
1994-03-09 | w: PHX | L: WAS
1994-03-10 | w: GSW | L: POR
1994-03-10 | w: LAL | L: DAL
1994-03-10 | w: HOU | L: OKC
1994-03-11 | w: OKC | L: SAS
1994-03-11 | w: NYK | L: BOS
1994-03-11 | w: BKN | L: IND
1994-03-11 | w: LAC | L: DAL
1994-03-11 | w: ORL | L: PHI
1994-03-11 | w: DET | L: CLE
1994-03-11 | w: PHX | L: MIA
1994-03-11 | w: ATL | L: CHI
1994-03-11 | w: SAC | L: MIL
1994-03-11 | w: CHA | L: MIN
1994-03-11 | w: WAS | L: DEN
1994-03-12 | w: CHI | L: SAC
1994-03-12 | w: NYK | L: CLE
1994-03-12 | w: BKN | L: CHA
1994-03-12 | w: SAS | L: HOU
1994-03-12 | w: ATL | L: DET
1994-03-12 | w: IND | L: MIL
1994-03-13 | w: MIA | L: BOS
1994-03-13 | w: PHX | L: ORL
1994-03-13 | w: LAC | L: GSW
1994-03-13 | w: HOU | L: DAL
1994-03-13 | w: LAL | L: MIN
1994-03-13 | w: OKC | L: POR
1994-03-13 | w: PHI | L: WAS
1994-03-14 | w: UTA | L: LAL
1994-03-14 | w: DET | L: SAC
1994-03-14 | w: DEN | L: SAS
1994-03-14 | w: CHA | L: BOS
1994-03-15 | w: GSW | L: WAS
1994-03-15 | w: CHI | L: ORL
1994-03-15 | w: NYK | L: IND
1994-03-15 | w: PHX | L: CLE
1994-03-15 | w: HOU | L: POR
1994-03-15 | w: LAC | L: UTA
1994-03-15 | w: MIA | L: MIL
1994-03-15 | w: MIN | L: PHI
1994-03-15 | w: DET | L: OKC
1994-03-16 | w: SAS | L: POR
1994-03-16 | w: LAL | L: WAS
1994-03-16 | w: CHI | L: BOS
1994-03-16 | w: ORL | L: DAL
1994-03-16 | w: IND | L: PHX
1994-03-16 | w: SAC | L: BKN
1994-03-16 | w: CHA | L: ATL
1994-03-17 | w: NYK | L: MIL
1994-03-17 | w: HOU | L: GSW
1994-03-17 | w: DEN | L: LAC
1994-03-17 | w: MIA | L: DAL
1994-03-17 | w: OKC | L: MIN
1994-03-18 | w: MIN | L: PHI
1994-03-18 | w: BKN | L: LAL
1994-03-18 | w: CHI | L: OKC
1994-03-18 | w: DET | L: PHX
1994-03-18 | w: ORL | L: CLE
1994-03-18 | w: POR | L: WAS
1994-03-18 | w: ATL | L: IND
1994-03-18 | w: SAC | L: DEN
1994-03-18 | w: CHA | L: UTA
1994-03-19 | w: SAS | L: SAC
1994-03-19 | w: PHX | L: BKN
1994-03-19 | w: NYK | L: BOS
1994-03-19 | w: HOU | L: DET
1994-03-19 | w: MIA | L: CLE
1994-03-19 | w: IND | L: UTA
1994-03-19 | w: GSW | L: DAL
1994-03-20 | w: LAL | L: ORL
1994-03-20 | w: ATL | L: BOS
1994-03-20 | w: LAC | L: POR
1994-03-20 | w: MIL | L: PHI
1994-03-20 | w: DEN | L: WAS
1994-03-20 | w: OKC | L: CHA
1994-03-20 | w: CHI | L: MIN
1994-03-21 | w: LAL | L: MIA
1994-03-21 | w: HOU | L: WAS
1994-03-21 | w: ATL | L: UTA
1994-03-22 | w: GSW | L: ORL
1994-03-22 | w: NYK | L: CHI
1994-03-22 | w: PHX | L: MIA
1994-03-22 | w: BKN | L: LAC
1994-03-22 | w: CLE | L: IND
1994-03-22 | w: POR | L: SAC
1994-03-22 | w: DEN | L: MIL
1994-03-22 | w: MIN | L: HOU
1994-03-22 | w: CHA | L: PHI
1994-03-22 | w: OKC | L: SAS
1994-03-23 | w: CHI | L: PHI
1994-03-23 | w: DET | L: LAC
1994-03-23 | w: ORL | L: UTA
1994-03-23 | w: IND | L: CLE
1994-03-23 | w: ATL | L: CHA
1994-03-23 | w: LAL | L: DAL
1994-03-24 | w: GSW | L: MIL
1994-03-24 | w: HOU | L: LAL
1994-03-24 | w: SAS | L: SAC
1994-03-24 | w: DEN | L: MIA
1994-03-24 | w: NYK | L: MIN
1994-03-24 | w: OKC | L: PHX
1994-03-24 | w: BOS | L: WAS
1994-03-25 | w: CLE | L: PHI
1994-03-25 | w: PHX | L: DAL
1994-03-25 | w: BKN | L: CHI
1994-03-25 | w: CHA | L: DET
1994-03-25 | w: POR | L: SAC
1994-03-25 | w: UTA | L: MIL
1994-03-25 | w: NYK | L: IND
1994-03-25 | w: LAC | L: ATL
1994-03-26 | w: SAS | L: GSW
1994-03-26 | w: CHI | L: IND
1994-03-26 | w: HOU | L: UTA
1994-03-26 | w: ATL | L: MIA
1994-03-26 | w: DEN | L: DAL
1994-03-26 | w: CHA | L: LAC
1994-03-26 | w: OKC | L: MIN
1994-03-26 | w: BKN | L: WAS
1994-03-27 | w: LAL | L: MIL
1994-03-27 | w: PHX | L: HOU
1994-03-27 | w: BOS | L: PHI
1994-03-27 | w: CLE | L: DET
1994-03-27 | w: NYK | L: ORL
1994-03-27 | w: SAS | L: POR
1994-03-28 | w: IND | L: LAC
1994-03-28 | w: OKC | L: DEN
1994-03-29 | w: LAL | L: MIN
1994-03-29 | w: CHI | L: PHI
1994-03-29 | w: NYK | L: CHA
1994-03-29 | w: CLE | L: LAC
1994-03-29 | w: ORL | L: WAS
1994-03-29 | w: DET | L: MIA
1994-03-29 | w: OKC | L: POR
1994-03-29 | w: GSW | L: UTA
1994-03-29 | w: ATL | L: BKN
1994-03-29 | w: BOS | L: MIL
1994-03-29 | w: SAS | L: DAL
1994-03-29 | w: HOU | L: SAC
1994-03-30 | w: HOU | L: GSW
1994-03-30 | w: IND | L: BOS
1994-03-30 | w: BKN | L: MIA
1994-03-31 | w: SAS | L: CLE
1994-03-31 | w: PHX | L: LAC
1994-03-31 | w: MIL | L: POR
1994-03-31 | w: ATL | L: SAC
1994-03-31 | w: OKC | L: LAL
1994-04-01 | w: POR | L: PHI
1994-04-01 | w: GSW | L: MIN
1994-04-01 | w: LAL | L: HOU
1994-04-01 | w: CHI | L: DET
1994-04-01 | w: PHX | L: ATL
1994-04-01 | w: WAS | L: BOS
1994-04-01 | w: ORL | L: BKN
1994-04-01 | w: MIA | L: IND
1994-04-01 | w: CHA | L: DAL
1994-04-02 | w: SAS | L: CHA
1994-04-02 | w: NYK | L: MIA
1994-04-02 | w: UTA | L: DEN
1994-04-02 | w: IND | L: ORL
1994-04-02 | w: CLE | L: DAL
1994-04-02 | w: SAC | L: MIN
1994-04-02 | w: OKC | L: GSW
1994-04-02 | w: WAS | L: MIL
1994-04-03 | w: BOS | L: PHI
1994-04-03 | w: LAL | L: ATL
1994-04-03 | w: PHX | L: DEN
1994-04-03 | w: POR | L: BKN
1994-04-03 | w: HOU | L: LAC
1994-04-03 | w: CHI | L: DET
1994-04-05 | w: GSW | L: SAS
1994-04-05 | w: CHI | L: WAS
1994-04-05 | w: BKN | L: BOS
1994-04-05 | w: CLE | L: CHA
1994-04-05 | w: ORL | L: MIL
1994-04-05 | w: MIA | L: NYK
1994-04-05 | w: POR | L: PHX
1994-04-05 | w: IND | L: DET
1994-04-05 | w: DAL | L: SAC
1994-04-05 | w: LAC | L: DEN
1994-04-05 | w: OKC | L: UTA
1994-04-06 | w: PHI | L: MIL
1994-04-06 | w: LAL | L: SAC
1994-04-06 | w: PHX | L: SAS
1994-04-06 | w: ATL | L: BOS
1994-04-06 | w: MIN | L: LAC
1994-04-06 | w: CHA | L: IND
1994-04-06 | w: MIA | L: WAS
1994-04-07 | w: NYK | L: CLE
1994-04-07 | w: BKN | L: ATL
1994-04-07 | w: HOU | L: GSW
1994-04-07 | w: UTA | L: DAL
1994-04-07 | w: DEN | L: OKC
1994-04-08 | w: PHI | L: NYK
1994-04-08 | w: DEN | L: LAL
1994-04-08 | w: BOS | L: MIN
1994-04-08 | w: ORL | L: DET
1994-04-08 | w: CHI | L: IND
1994-04-08 | w: SAC | L: PHX
1994-04-08 | w: CHA | L: BKN
1994-04-08 | w: OKC | L: DAL
1994-04-08 | w: WAS | L: CLE
1994-04-09 | w: POR | L: LAL
1994-04-09 | w: CHA | L: PHI
1994-04-09 | w: CHI | L: MIL
1994-04-09 | w: HOU | L: SAS
1994-04-09 | w: ORL | L: MIA
1994-04-09 | w: UTA | L: LAC
1994-04-09 | w: ATL | L: WAS
1994-04-09 | w: GSW | L: MIN
1994-04-10 | w: BKN | L: NYK
1994-04-10 | w: BOS | L: DET
1994-04-10 | w: HOU | L: DEN
1994-04-10 | w: OKC | L: PHX
1994-04-11 | w: GSW | L: DAL
1994-04-11 | w: SAS | L: MIN
1994-04-11 | w: ORL | L: NYK
1994-04-11 | w: IND | L: BOS
1994-04-11 | w: SAC | L: LAC
1994-04-11 | w: CHA | L: MIA
1994-04-12 | w: GSW | L: LAL
1994-04-12 | w: CHI | L: BKN
1994-04-12 | w: CLE | L: MIL
1994-04-12 | w: HOU | L: MIN
1994-04-12 | w: OKC | L: LAC
1994-04-12 | w: PHI | L: DET
1994-04-12 | w: DAL | L: POR
1994-04-12 | w: UTA | L: SAC
1994-04-12 | w: PHX | L: DEN
1994-04-13 | w: IND | L: PHI
1994-04-13 | w: DEN | L: SAS
1994-04-13 | w: PHX | L: LAL
1994-04-13 | w: BOS | L: DET
1994-04-13 | w: CHI | L: MIA
1994-04-13 | w: BKN | L: MIL
1994-04-13 | w: ATL | L: CLE
1994-04-14 | w: GSW | L: POR
1994-04-14 | w: HOU | L: SAC
1994-04-14 | w: CHA | L: ORL
1994-04-14 | w: UTA | L: SAS
1994-04-14 | w: OKC | L: LAC
1994-04-14 | w: NYK | L: WAS
1994-04-15 | w: POR | L: LAL
1994-04-15 | w: NYK | L: WAS
1994-04-15 | w: BOS | L: ORL
1994-04-15 | w: BKN | L: DET
1994-04-15 | w: CLE | L: MIA
1994-04-15 | w: ATL | L: MIL
1994-04-15 | w: DAL | L: DEN
1994-04-15 | w: IND | L: MIN
1994-04-15 | w: CHI | L: CHA
1994-04-16 | w: GSW | L: UTA
1994-04-16 | w: LAC | L: LAL
1994-04-16 | w: PHX | L: SAS
1994-04-16 | w: CLE | L: MIL
1994-04-16 | w: ATL | L: PHI
1994-04-16 | w: SAC | L: DAL
1994-04-16 | w: OKC | L: HOU
1994-04-17 | w: ORL | L: CHI
1994-04-17 | w: IND | L: DET
1994-04-17 | w: BKN | L: MIA
1994-04-17 | w: HOU | L: POR
1994-04-17 | w: DEN | L: MIN
1994-04-17 | w: CHA | L: NYK
1994-04-17 | w: WAS | L: BOS
1994-04-18 | w: CHI | L: ATL
1994-04-18 | w: GSW | L: LAC
1994-04-18 | w: PHX | L: DAL
1994-04-19 | w: BKN | L: PHI
1994-04-19 | w: SAS | L: HOU
1994-04-19 | w: ATL | L: NYK
1994-04-19 | w: PHX | L: OKC
1994-04-19 | w: BOS | L: MIL
1994-04-19 | w: ORL | L: DET
1994-04-19 | w: MIA | L: MIN
1994-04-19 | w: UTA | L: SAC
1994-04-19 | w: DEN | L: LAL
1994-04-19 | w: IND | L: WAS
1994-04-20 | w: OKC | L: LAL
1994-04-20 | w: ORL | L: MIN
1994-04-20 | w: DEN | L: LAC
1994-04-20 | w: IND | L: CLE
1994-04-20 | w: MIL | L: DET
1994-04-20 | w: CHA | L: WAS
1994-04-21 | w: GSW | L: SAC
1994-04-21 | w: NYK | L: PHI
1994-04-21 | w: CHA | L: BOS
1994-04-21 | w: HOU | L: DAL
1994-04-21 | w: MIA | L: ATL
1994-04-21 | w: UTA | L: POR
1994-04-22 | w: BOS | L: CHI
1994-04-22 | w: PHX | L: LAC
1994-04-22 | w: CLE | L: WAS
1994-04-22 | w: IND | L: PHI
1994-04-22 | w: NYK | L: MIL
1994-04-22 | w: DAL | L: HOU
1994-04-22 | w: UTA | L: DEN
1994-04-22 | w: POR | L: MIN
1994-04-22 | w: OKC | L: SAS
1994-04-23 | w: GSW | L: LAL
1994-04-23 | w: PHX | L: SAC
1994-04-23 | w: BKN | L: MIL
1994-04-23 | w: IND | L: MIA
1994-04-23 | w: ATL | L: ORL
1994-04-23 | w: CHA | L: DET
1994-04-24 | w: PHI | L: DET
1994-04-24 | w: UTA | L: LAL
1994-04-24 | w: NYK | L: CHI
1994-04-24 | w: CLE | L: BOS
1994-04-24 | w: DEN | L: HOU
1994-04-24 | w: SAS | L: LAC
1994-04-24 | w: ORL | L: BKN
1994-04-24 | w: OKC | L: POR
1994-04-24 | w: DAL | L: MIN
1994-04-24 | w: SAC | L: GSW
1994-04-24 | w: WAS | L: CHA
============ End of Regular Season ============
1994-04-28 | w: SAS | L: UTA
1994-04-28 | w: IND | L: ORL
1994-04-28 | w: MIA | L: ATL
1994-04-28 | w: OKC | L: DEN
1994-04-29 | w: CHI | L: CLE
1994-04-29 | w: NYK | L: BKN
1994-04-29 | w: PHX | L: GSW
1994-04-29 | w: HOU | L: POR
1994-04-30 | w: UTA | L: SAS
1994-04-30 | w: IND | L: ORL
1994-04-30 | w: ATL | L: MIA
1994-04-30 | w: OKC | L: DEN
1994-05-01 | w: CHI | L: CLE
1994-05-01 | w: NYK | L: BKN
1994-05-01 | w: PHX | L: GSW
1994-05-01 | w: HOU | L: POR
1994-05-02 | w: IND | L: ORL
1994-05-02 | w: DEN | L: OKC
1994-05-03 | w: CHI | L: CLE
1994-05-03 | w: MIA | L: ATL
1994-05-03 | w: POR | L: HOU
1994-05-03 | w: UTA | L: SAS
1994-05-04 | w: PHX | L: GSW
1994-05-04 | w: BKN | L: NYK
1994-05-05 | w: ATL | L: MIA
1994-05-05 | w: UTA | L: SAS
1994-05-05 | w: DEN | L: OKC
1994-05-06 | w: NYK | L: BKN
1994-05-06 | w: HOU | L: POR
1994-05-07 | w: DEN | L: OKC
1994-05-08 | w: NYK | L: CHI
1994-05-08 | w: PHX | L: HOU
1994-05-08 | w: ATL | L: MIA
1994-05-10 | w: UTA | L: DEN
1994-05-10 | w: IND | L: ATL
1994-05-11 | w: NYK | L: CHI
1994-05-11 | w: PHX | L: HOU
1994-05-12 | w: UTA | L: DEN
1994-05-12 | w: ATL | L: IND
1994-05-13 | w: CHI | L: NYK
1994-05-13 | w: HOU | L: PHX
1994-05-14 | w: IND | L: ATL
1994-05-14 | w: UTA | L: DEN
1994-05-15 | w: CHI | L: NYK
1994-05-15 | w: HOU | L: PHX
1994-05-15 | w: IND | L: ATL
1994-05-15 | w: DEN | L: UTA
1994-05-17 | w: HOU | L: PHX
1994-05-17 | w: DEN | L: UTA
1994-05-17 | w: ATL | L: IND
1994-05-18 | w: NYK | L: CHI
1994-05-19 | w: PHX | L: HOU
1994-05-19 | w: IND | L: ATL
1994-05-19 | w: DEN | L: UTA
1994-05-20 | w: CHI | L: NYK
1994-05-21 | w: HOU | L: PHX
1994-05-21 | w: UTA | L: DEN
1994-05-22 | w: NYK | L: CHI
1994-05-23 | w: HOU | L: UTA
1994-05-24 | w: NYK | L: IND
1994-05-25 | w: HOU | L: UTA
1994-05-26 | w: NYK | L: IND
1994-05-27 | w: UTA | L: HOU
1994-05-28 | w: IND | L: NYK
1994-05-29 | w: HOU | L: UTA
1994-05-30 | w: IND | L: NYK
1994-05-31 | w: HOU | L: UTA
1994-06-01 | w: IND | L: NYK
1994-06-03 | w: NYK | L: IND
1994-06-05 | w: NYK | L: IND
1994-06-08 | w: HOU | L: NYK
1994-06-10 | w: NYK | L: HOU
1994-06-12 | w: HOU | L: NYK
1994-06-15 | w: NYK | L: HOU
1994-06-17 | w: NYK | L: HOU
1994-06-19 | w: HOU | L: NYK
1994-06-22 | w: HOU | L: NYK
============ End of Playoffs ============
