============ Start of Season ============
1975-10-23 | w: ATL | L: UTA
1976-04-05 | w: WAS | L: ATL
1976-04-05 | w: MIL | L: CHI
1976-04-05 | w: PHI | L: HOU
1976-04-06 | w: CLE | L: BOS
1976-04-06 | w: POR | L: LAL
1976-04-06 | w: NYK | L: LAC
1976-04-06 | w: GSW | L: PHX
1976-04-07 | w: DET | L: MIL
1976-04-07 | w: OKC | L: CHI
1976-04-07 | w: WAS | L: HOU
1976-04-07 | w: PHI | L: UTA
1976-04-08 | w: GSW | L: POR
1976-04-08 | w: LAC | L: NYK
1976-04-08 | w: PHX | L: LAL
1976-04-08 | w: CLE | L: UTA
1976-04-08 | w: SAC | L: BOS
1976-04-09 | w: MIL | L: BOS
1976-04-09 | w: DET | L: ATL
1976-04-09 | w: OKC | L: GSW
1976-04-09 | w: POR | L: CHI
1976-04-09 | w: PHI | L: SAC
1976-04-09 | w: UTA | L: HOU
1976-04-10 | w: ATL | L: PHI
1976-04-10 | w: HOU | L: DET
1976-04-10 | w: PHX | L: OKC
1976-04-10 | w: CLE | L: NYK
1976-04-11 | w: HOU | L: ATL
1976-04-11 | w: NYK | L: CLE
1976-04-11 | w: BOS | L: WAS
1976-04-11 | w: OKC | L: POR
1976-04-11 | w: CHI | L: MIL
1976-04-11 | w: UTA | L: DET
1976-04-11 | w: LAC | L: SAC
============ End of Regular Season ============
1976-04-13 | w: OKC | L: PHX
1976-04-13 | w: MIL | L: DET
1976-04-13 | w: WAS | L: CLE
1976-04-15 | w: DET | L: MIL
1976-04-15 | w: CLE | L: WAS
1976-04-15 | w: PHX | L: OKC
1976-04-15 | w: LAC | L: PHI
1976-04-16 | w: PHI | L: LAC
1976-04-17 | w: CLE | L: WAS
1976-04-18 | w: PHX | L: OKC
1976-04-18 | w: DET | L: MIL
1976-04-18 | w: LAC | L: PHI
1976-04-20 | w: GSW | L: DET
1976-04-20 | w: PHX | L: OKC
1976-04-21 | w: BOS | L: LAC
1976-04-21 | w: WAS | L: CLE
1976-04-22 | w: DET | L: GSW
1976-04-22 | w: CLE | L: WAS
1976-04-23 | w: BOS | L: LAC
1976-04-24 | w: GSW | L: DET
1976-04-25 | w: OKC | L: PHX
1976-04-25 | w: LAC | L: BOS
1976-04-26 | w: DET | L: GSW
1976-04-26 | w: WAS | L: CLE
1976-04-27 | w: PHX | L: OKC
1976-04-28 | w: GSW | L: DET
1976-04-28 | w: LAC | L: BOS
1976-04-29 | w: CLE | L: WAS
1976-04-30 | w: BOS | L: LAC
1976-04-30 | w: GSW | L: DET
1976-05-02 | w: GSW | L: PHX
1976-05-02 | w: BOS | L: LAC
1976-05-05 | w: PHX | L: GSW
1976-05-06 | w: BOS | L: CLE
1976-05-07 | w: GSW | L: PHX
1976-05-09 | w: BOS | L: CLE
1976-05-09 | w: PHX | L: GSW
1976-05-11 | w: CLE | L: BOS
1976-05-12 | w: GSW | L: PHX
1976-05-14 | w: PHX | L: GSW
1976-05-14 | w: CLE | L: BOS
1976-05-16 | w: BOS | L: CLE
1976-05-16 | w: PHX | L: GSW
1976-05-18 | w: BOS | L: CLE
1976-05-23 | w: BOS | L: PHX
1976-05-27 | w: BOS | L: PHX
1976-05-30 | w: PHX | L: BOS
1976-06-02 | w: PHX | L: BOS
1976-06-04 | w: BOS | L: PHX
1976-06-06 | w: BOS | L: PHX
============ End of Playoffs ============
