============ Start of Season ============
1982-10-29 | w: GSW | L: LAL
1983-03-08 | w: DAL | L: PHX
1983-03-09 | w: SAC | L: DAL
1983-03-09 | w: LAL | L: LAC
1983-03-09 | w: OKC | L: BOS
1983-03-09 | w: WAS | L: CHI
1983-03-09 | w: MIL | L: ATL
1983-03-09 | w: SAS | L: PHX
1983-03-09 | w: DEN | L: UTA
1983-03-09 | w: POR | L: IND
1983-03-09 | w: NYK | L: BKN
1983-03-10 | w: GSW | L: HOU
1983-03-11 | w: MIL | L: SAC
1983-03-11 | w: UTA | L: DAL
1983-03-11 | w: OKC | L: IND
1983-03-11 | w: BKN | L: BOS
1983-03-11 | w: LAC | L: CHI
1983-03-12 | w: LAL | L: CHI
1983-03-12 | w: NYK | L: POR
1983-03-12 | w: ATL | L: DET
1983-03-12 | w: PHX | L: HOU
1983-03-12 | w: SAS | L: GSW
1983-03-12 | w: PHI | L: WAS
1983-03-13 | w: NYK | L: BOS
1983-03-13 | w: MIL | L: CLE
1983-03-13 | w: IND | L: DET
1983-03-13 | w: DEN | L: UTA
1983-03-13 | w: BKN | L: POR
1983-03-13 | w: DAL | L: LAC
1983-03-13 | w: OKC | L: SAC
1983-03-13 | w: PHI | L: WAS
1983-03-15 | w: NYK | L: ATL
1983-03-15 | w: DAL | L: HOU
1983-03-15 | w: PHX | L: CHI
1983-03-15 | w: POR | L: SAC
1983-03-15 | w: SAS | L: LAC
1983-03-15 | w: DEN | L: GSW
1983-03-15 | w: BKN | L: DET
1983-03-15 | w: WAS | L: CLE
1983-03-15 | w: PHI | L: IND
1983-03-16 | w: LAL | L: PHX
1983-03-16 | w: CHI | L: GSW
1983-03-16 | w: UTA | L: DET
1983-03-16 | w: OKC | L: SAC
1983-03-16 | w: NYK | L: MIL
1983-03-16 | w: BKN | L: CLE
1983-03-16 | w: ATL | L: WAS
1983-03-16 | w: PHI | L: BOS
1983-03-17 | w: PHX | L: HOU
1983-03-17 | w: DAL | L: IND
1983-03-17 | w: SAS | L: LAC
1983-03-18 | w: LAL | L: SAC
1983-03-18 | w: BOS | L: BKN
1983-03-18 | w: HOU | L: GSW
1983-03-18 | w: NYK | L: WAS
1983-03-18 | w: OKC | L: DEN
1983-03-18 | w: CHI | L: POR
1983-03-18 | w: ATL | L: CLE
1983-03-18 | w: DET | L: MIL
1983-03-19 | w: ATL | L: UTA
1983-03-19 | w: WAS | L: NYK
1983-03-19 | w: SAS | L: IND
1983-03-19 | w: LAC | L: LAL
1983-03-19 | w: PHX | L: DAL
1983-03-19 | w: PHI | L: MIL
1983-03-20 | w: LAL | L: DAL
1983-03-20 | w: OKC | L: CHI
1983-03-20 | w: MIL | L: BKN
1983-03-20 | w: BOS | L: CLE
1983-03-20 | w: SAC | L: GSW
1983-03-20 | w: POR | L: DEN
1983-03-20 | w: PHI | L: DET
1983-03-22 | w: LAL | L: OKC
1983-03-22 | w: WAS | L: UTA
1983-03-22 | w: DET | L: CHI
1983-03-22 | w: MIL | L: BOS
1983-03-22 | w: POR | L: SAS
1983-03-22 | w: SAC | L: CLE
1983-03-22 | w: DEN | L: PHX
1983-03-22 | w: ATL | L: IND
1983-03-22 | w: LAC | L: HOU
1983-03-22 | w: DAL | L: GSW
1983-03-22 | w: NYK | L: PHI
1983-03-23 | w: BOS | L: ATL
1983-03-23 | w: DET | L: IND
1983-03-23 | w: OKC | L: SAS
1983-03-23 | w: CLE | L: NYK
1983-03-23 | w: BKN | L: UTA
1983-03-23 | w: PHI | L: MIL
1983-03-24 | w: WAS | L: CHI
1983-03-24 | w: PHX | L: SAC
1983-03-24 | w: POR | L: HOU
1983-03-24 | w: DAL | L: LAC
1983-03-25 | w: SAS | L: LAL
1983-03-25 | w: NYK | L: ATL
1983-03-25 | w: BOS | L: CLE
1983-03-25 | w: HOU | L: OKC
1983-03-25 | w: WAS | L: MIL
1983-03-25 | w: IND | L: UTA
1983-03-25 | w: DEN | L: DET
1983-03-25 | w: BKN | L: PHI
1983-03-26 | w: MIL | L: NYK
1983-03-26 | w: CHI | L: BOS
1983-03-26 | w: PHX | L: DEN
1983-03-26 | w: BKN | L: ATL
1983-03-26 | w: SAC | L: DAL
1983-03-26 | w: LAC | L: GSW
1983-03-27 | w: LAL | L: HOU
1983-03-27 | w: WAS | L: IND
1983-03-27 | w: SAC | L: POR
1983-03-27 | w: OKC | L: UTA
1983-03-27 | w: PHI | L: CLE
1983-03-29 | w: WAS | L: MIL
1983-03-29 | w: LAL | L: LAC
1983-03-29 | w: ATL | L: CLE
1983-03-29 | w: GSW | L: DAL
1983-03-29 | w: SAC | L: HOU
1983-03-29 | w: PHX | L: UTA
1983-03-29 | w: POR | L: DET
1983-03-29 | w: SAS | L: DEN
1983-03-29 | w: IND | L: BOS
1983-03-29 | w: CHI | L: PHI
1983-03-30 | w: BOS | L: IND
1983-03-30 | w: OKC | L: DET
1983-03-30 | w: CLE | L: HOU
1983-03-30 | w: UTA | L: DAL
1983-03-30 | w: WAS | L: BKN
1983-03-30 | w: LAC | L: NYK
1983-03-30 | w: PHI | L: ATL
1983-03-31 | w: PHX | L: POR
1983-03-31 | w: LAL | L: DEN
1983-04-01 | w: DET | L: CLE
1983-04-01 | w: LAL | L: NYK
1983-04-01 | w: SAS | L: HOU
1983-04-01 | w: BOS | L: MIL
1983-04-01 | w: OKC | L: DAL
1983-04-01 | w: ATL | L: CHI
1983-04-01 | w: UTA | L: GSW
1983-04-01 | w: WAS | L: IND
1983-04-01 | w: SAC | L: LAC
1983-04-01 | w: BKN | L: PHI
1983-04-02 | w: ATL | L: IND
1983-04-02 | w: SAC | L: GSW
1983-04-02 | w: SAS | L: HOU
1983-04-02 | w: PHX | L: NYK
1983-04-02 | w: POR | L: DAL
1983-04-02 | w: DEN | L: LAC
1983-04-02 | w: MIL | L: BKN
1983-04-02 | w: BOS | L: WAS
1983-04-03 | w: DET | L: CHI
1983-04-03 | w: PHI | L: CLE
1983-04-04 | w: OKC | L: LAL
1983-04-05 | w: BOS | L: ATL
1983-04-05 | w: WAS | L: BKN
1983-04-05 | w: CLE | L: CHI
1983-04-05 | w: PHX | L: GSW
1983-04-05 | w: POR | L: LAL
1983-04-05 | w: UTA | L: HOU
1983-04-05 | w: SAS | L: SAC
1983-04-05 | w: OKC | L: LAC
1983-04-05 | w: NYK | L: DET
1983-04-05 | w: PHI | L: MIL
1983-04-06 | w: BOS | L: NYK
1983-04-06 | w: DET | L: WAS
1983-04-06 | w: SAC | L: DEN
1983-04-06 | w: BKN | L: IND
1983-04-06 | w: HOU | L: DAL
1983-04-06 | w: SAS | L: PHI
1983-04-07 | w: GSW | L: POR
1983-04-07 | w: OKC | L: LAC
1983-04-07 | w: LAL | L: PHX
1983-04-07 | w: MIL | L: CLE
1983-04-08 | w: LAL | L: GSW
1983-04-08 | w: ATL | L: CHI
1983-04-08 | w: WAS | L: BOS
1983-04-08 | w: DET | L: BKN
1983-04-08 | w: PHX | L: POR
1983-04-08 | w: SAC | L: UTA
1983-04-08 | w: DEN | L: DAL
1983-04-08 | w: NYK | L: SAS
1983-04-08 | w: PHI | L: IND
1983-04-09 | w: DAL | L: SAS
1983-04-09 | w: WAS | L: ATL
1983-04-09 | w: DEN | L: HOU
1983-04-09 | w: MIL | L: CHI
1983-04-09 | w: SAC | L: UTA
1983-04-09 | w: BKN | L: CLE
1983-04-10 | w: PHX | L: LAL
1983-04-10 | w: BOS | L: DET
1983-04-10 | w: GSW | L: LAC
1983-04-10 | w: MIL | L: CHI
1983-04-10 | w: OKC | L: POR
1983-04-10 | w: CLE | L: IND
1983-04-10 | w: PHI | L: NYK
1983-04-11 | w: NYK | L: IND
1983-04-12 | w: PHX | L: GSW
1983-04-12 | w: OKC | L: POR
1983-04-12 | w: LAL | L: HOU
1983-04-12 | w: SAC | L: CHI
1983-04-12 | w: UTA | L: DEN
1983-04-12 | w: BOS | L: BKN
1983-04-12 | w: ATL | L: PHI
1983-04-13 | w: NYK | L: BKN
1983-04-13 | w: DET | L: BOS
1983-04-13 | w: PHX | L: OKC
1983-04-13 | w: CHI | L: CLE
1983-04-13 | w: SAC | L: ATL
1983-04-13 | w: SAS | L: LAL
1983-04-13 | w: DEN | L: HOU
1983-04-13 | w: IND | L: MIL
1983-04-13 | w: GSW | L: LAC
1983-04-13 | w: DAL | L: UTA
1983-04-13 | w: WAS | L: PHI
1983-04-14 | w: MIL | L: WAS
1983-04-14 | w: POR | L: LAC
1983-04-15 | w: LAL | L: OKC
1983-04-15 | w: CHI | L: BOS
1983-04-15 | w: NYK | L: DET
1983-04-15 | w: POR | L: GSW
1983-04-15 | w: SAC | L: HOU
1983-04-15 | w: SAS | L: UTA
1983-04-15 | w: DEN | L: DAL
1983-04-15 | w: PHX | L: LAC
1983-04-15 | w: CLE | L: IND
1983-04-15 | w: PHI | L: BKN
1983-04-16 | w: ATL | L: MIL
1983-04-16 | w: WAS | L: DET
1983-04-16 | w: UTA | L: HOU
1983-04-16 | w: SAS | L: DAL
1983-04-16 | w: GSW | L: OKC
1983-04-17 | w: POR | L: LAL
1983-04-17 | w: NYK | L: CHI
1983-04-17 | w: PHX | L: LAC
1983-04-17 | w: CLE | L: WAS
1983-04-17 | w: DEN | L: SAC
1983-04-17 | w: BKN | L: IND
1983-04-17 | w: BOS | L: PHI
============ End of Regular Season ============
1983-04-19 | w: BOS | L: ATL
1983-04-19 | w: PHX | L: DEN
1983-04-20 | w: POR | L: OKC
1983-04-20 | w: NYK | L: BKN
1983-04-21 | w: NYK | L: BKN
1983-04-21 | w: DEN | L: PHX
1983-04-22 | w: ATL | L: BOS
1983-04-22 | w: POR | L: OKC
1983-04-24 | w: LAL | L: POR
1983-04-24 | w: BOS | L: ATL
1983-04-24 | w: DEN | L: PHX
1983-04-24 | w: PHI | L: NYK
1983-04-26 | w: LAL | L: POR
1983-04-26 | w: SAS | L: DEN
1983-04-27 | w: MIL | L: BOS
1983-04-27 | w: SAS | L: DEN
1983-04-27 | w: PHI | L: NYK
1983-04-29 | w: MIL | L: BOS
1983-04-29 | w: SAS | L: DEN
1983-04-29 | w: LAL | L: POR
1983-04-30 | w: PHI | L: NYK
1983-05-01 | w: PHI | L: NYK
1983-05-01 | w: POR | L: LAL
1983-05-01 | w: MIL | L: BOS
1983-05-02 | w: MIL | L: BOS
1983-05-02 | w: DEN | L: SAS
1983-05-03 | w: LAL | L: POR
1983-05-04 | w: SAS | L: DEN
1983-05-08 | w: PHI | L: MIL
1983-05-08 | w: LAL | L: SAS
1983-05-10 | w: SAS | L: LAL
1983-05-11 | w: PHI | L: MIL
1983-05-13 | w: LAL | L: SAS
1983-05-14 | w: PHI | L: MIL
1983-05-15 | w: LAL | L: SAS
1983-05-15 | w: MIL | L: PHI
1983-05-18 | w: PHI | L: MIL
1983-05-18 | w: SAS | L: LAL
1983-05-20 | w: LAL | L: SAS
1983-05-22 | w: PHI | L: LAL
1983-05-26 | w: PHI | L: LAL
1983-05-29 | w: PHI | L: LAL
1983-05-31 | w: PHI | L: LAL
============ End of Playoffs ============
