============ Start of Season ============
1982-10-29 | w: GOS | L: LAL
1983-03-08 | w: DAL | L: PHX
1983-03-09 | w: SAC | L: DAL
1983-03-09 | w: LAL | L: LAC
1983-03-09 | w: OKC | L: BOS
1983-03-09 | w: WAS | L: CHI
1983-03-09 | w: MIL | L: ATL
1983-03-09 | w: SAN | L: PHX
1983-03-09 | w: DEN | L: UTH
1983-03-09 | w: POR | L: IND
1983-03-09 | w: NYK | L: BKN
1983-03-10 | w: GOS | L: HOU
1983-03-11 | w: MIL | L: SAC
1983-03-11 | w: UTH | L: DAL
1983-03-11 | w: OKC | L: IND
1983-03-11 | w: BKN | L: BOS
1983-03-11 | w: LAC | L: CHI
1983-03-12 | w: LAL | L: CHI
1983-03-12 | w: NYK | L: POR
1983-03-12 | w: ATL | L: DET
1983-03-12 | w: PHX | L: HOU
1983-03-12 | w: SAN | L: GOS
1983-03-12 | w: PHL | L: WAS
1983-03-13 | w: NYK | L: BOS
1983-03-13 | w: MIL | L: CLE
1983-03-13 | w: IND | L: DET
1983-03-13 | w: DEN | L: UTH
1983-03-13 | w: BKN | L: POR
1983-03-13 | w: DAL | L: LAC
1983-03-13 | w: OKC | L: SAC
1983-03-13 | w: PHL | L: WAS
1983-03-15 | w: NYK | L: ATL
1983-03-15 | w: DAL | L: HOU
1983-03-15 | w: PHX | L: CHI
1983-03-15 | w: POR | L: SAC
1983-03-15 | w: SAN | L: LAC
1983-03-15 | w: DEN | L: GOS
1983-03-15 | w: BKN | L: DET
1983-03-15 | w: WAS | L: CLE
1983-03-15 | w: PHL | L: IND
1983-03-16 | w: LAL | L: PHX
1983-03-16 | w: CHI | L: GOS
1983-03-16 | w: UTH | L: DET
1983-03-16 | w: OKC | L: SAC
1983-03-16 | w: NYK | L: MIL
1983-03-16 | w: BKN | L: CLE
1983-03-16 | w: ATL | L: WAS
1983-03-16 | w: PHL | L: BOS
1983-03-17 | w: PHX | L: HOU
1983-03-17 | w: DAL | L: IND
1983-03-17 | w: SAN | L: LAC
1983-03-18 | w: LAL | L: SAC
1983-03-18 | w: BOS | L: BKN
1983-03-18 | w: HOU | L: GOS
1983-03-18 | w: NYK | L: WAS
1983-03-18 | w: OKC | L: DEN
1983-03-18 | w: CHI | L: POR
1983-03-18 | w: ATL | L: CLE
1983-03-18 | w: DET | L: MIL
1983-03-19 | w: ATL | L: UTH
1983-03-19 | w: WAS | L: NYK
1983-03-19 | w: SAN | L: IND
1983-03-19 | w: LAC | L: LAL
1983-03-19 | w: PHX | L: DAL
1983-03-19 | w: PHL | L: MIL
1983-03-20 | w: LAL | L: DAL
1983-03-20 | w: OKC | L: CHI
1983-03-20 | w: MIL | L: BKN
1983-03-20 | w: BOS | L: CLE
1983-03-20 | w: SAC | L: GOS
1983-03-20 | w: POR | L: DEN
1983-03-20 | w: PHL | L: DET
1983-03-22 | w: LAL | L: OKC
1983-03-22 | w: WAS | L: UTH
1983-03-22 | w: DET | L: CHI
1983-03-22 | w: MIL | L: BOS
1983-03-22 | w: POR | L: SAN
1983-03-22 | w: SAC | L: CLE
1983-03-22 | w: DEN | L: PHX
1983-03-22 | w: ATL | L: IND
1983-03-22 | w: LAC | L: HOU
1983-03-22 | w: DAL | L: GOS
1983-03-22 | w: NYK | L: PHL
1983-03-23 | w: BOS | L: ATL
1983-03-23 | w: DET | L: IND
1983-03-23 | w: OKC | L: SAN
1983-03-23 | w: CLE | L: NYK
1983-03-23 | w: BKN | L: UTH
1983-03-23 | w: PHL | L: MIL
1983-03-24 | w: WAS | L: CHI
1983-03-24 | w: PHX | L: SAC
1983-03-24 | w: POR | L: HOU
1983-03-24 | w: DAL | L: LAC
1983-03-25 | w: SAN | L: LAL
1983-03-25 | w: NYK | L: ATL
1983-03-25 | w: BOS | L: CLE
1983-03-25 | w: HOU | L: OKC
1983-03-25 | w: WAS | L: MIL
1983-03-25 | w: IND | L: UTH
1983-03-25 | w: DEN | L: DET
1983-03-25 | w: BKN | L: PHL
1983-03-26 | w: MIL | L: NYK
1983-03-26 | w: CHI | L: BOS
1983-03-26 | w: PHX | L: DEN
1983-03-26 | w: BKN | L: ATL
1983-03-26 | w: SAC | L: DAL
1983-03-26 | w: LAC | L: GOS
1983-03-27 | w: LAL | L: HOU
1983-03-27 | w: WAS | L: IND
1983-03-27 | w: SAC | L: POR
1983-03-27 | w: OKC | L: UTH
1983-03-27 | w: PHL | L: CLE
1983-03-29 | w: WAS | L: MIL
1983-03-29 | w: LAL | L: LAC
1983-03-29 | w: ATL | L: CLE
1983-03-29 | w: GOS | L: DAL
1983-03-29 | w: SAC | L: HOU
1983-03-29 | w: PHX | L: UTH
1983-03-29 | w: POR | L: DET
1983-03-29 | w: SAN | L: DEN
1983-03-29 | w: IND | L: BOS
1983-03-29 | w: CHI | L: PHL
1983-03-30 | w: BOS | L: IND
1983-03-30 | w: OKC | L: DET
1983-03-30 | w: CLE | L: HOU
1983-03-30 | w: UTH | L: DAL
1983-03-30 | w: WAS | L: BKN
1983-03-30 | w: LAC | L: NYK
1983-03-30 | w: PHL | L: ATL
1983-03-31 | w: PHX | L: POR
1983-03-31 | w: LAL | L: DEN
1983-04-01 | w: DET | L: CLE
1983-04-01 | w: LAL | L: NYK
1983-04-01 | w: SAN | L: HOU
1983-04-01 | w: BOS | L: MIL
1983-04-01 | w: OKC | L: DAL
1983-04-01 | w: ATL | L: CHI
1983-04-01 | w: UTH | L: GOS
1983-04-01 | w: WAS | L: IND
1983-04-01 | w: SAC | L: LAC
1983-04-01 | w: BKN | L: PHL
1983-04-02 | w: ATL | L: IND
1983-04-02 | w: SAC | L: GOS
1983-04-02 | w: SAN | L: HOU
1983-04-02 | w: PHX | L: NYK
1983-04-02 | w: POR | L: DAL
1983-04-02 | w: DEN | L: LAC
1983-04-02 | w: MIL | L: BKN
1983-04-02 | w: BOS | L: WAS
1983-04-03 | w: DET | L: CHI
1983-04-03 | w: PHL | L: CLE
1983-04-04 | w: OKC | L: LAL
1983-04-05 | w: BOS | L: ATL
1983-04-05 | w: WAS | L: BKN
1983-04-05 | w: CLE | L: CHI
1983-04-05 | w: PHX | L: GOS
1983-04-05 | w: POR | L: LAL
1983-04-05 | w: UTH | L: HOU
1983-04-05 | w: SAN | L: SAC
1983-04-05 | w: OKC | L: LAC
1983-04-05 | w: NYK | L: DET
1983-04-05 | w: PHL | L: MIL
1983-04-06 | w: BOS | L: NYK
1983-04-06 | w: DET | L: WAS
1983-04-06 | w: SAC | L: DEN
1983-04-06 | w: BKN | L: IND
1983-04-06 | w: HOU | L: DAL
1983-04-06 | w: SAN | L: PHL
1983-04-07 | w: GOS | L: POR
1983-04-07 | w: OKC | L: LAC
1983-04-07 | w: LAL | L: PHX
1983-04-07 | w: MIL | L: CLE
1983-04-08 | w: LAL | L: GOS
1983-04-08 | w: ATL | L: CHI
1983-04-08 | w: WAS | L: BOS
1983-04-08 | w: DET | L: BKN
1983-04-08 | w: PHX | L: POR
1983-04-08 | w: SAC | L: UTH
1983-04-08 | w: DEN | L: DAL
1983-04-08 | w: NYK | L: SAN
1983-04-08 | w: PHL | L: IND
1983-04-09 | w: DAL | L: SAN
1983-04-09 | w: WAS | L: ATL
1983-04-09 | w: DEN | L: HOU
1983-04-09 | w: MIL | L: CHI
1983-04-09 | w: SAC | L: UTH
1983-04-09 | w: BKN | L: CLE
1983-04-10 | w: PHX | L: LAL
1983-04-10 | w: BOS | L: DET
1983-04-10 | w: GOS | L: LAC
1983-04-10 | w: MIL | L: CHI
1983-04-10 | w: OKC | L: POR
1983-04-10 | w: CLE | L: IND
1983-04-10 | w: PHL | L: NYK
1983-04-11 | w: NYK | L: IND
1983-04-12 | w: PHX | L: GOS
1983-04-12 | w: OKC | L: POR
1983-04-12 | w: LAL | L: HOU
1983-04-12 | w: SAC | L: CHI
1983-04-12 | w: UTH | L: DEN
1983-04-12 | w: BOS | L: BKN
1983-04-12 | w: ATL | L: PHL
1983-04-13 | w: NYK | L: BKN
1983-04-13 | w: DET | L: BOS
1983-04-13 | w: PHX | L: OKC
1983-04-13 | w: CHI | L: CLE
1983-04-13 | w: SAC | L: ATL
1983-04-13 | w: SAN | L: LAL
1983-04-13 | w: DEN | L: HOU
1983-04-13 | w: IND | L: MIL
1983-04-13 | w: GOS | L: LAC
1983-04-13 | w: DAL | L: UTH
1983-04-13 | w: WAS | L: PHL
1983-04-14 | w: MIL | L: WAS
1983-04-14 | w: POR | L: LAC
1983-04-15 | w: LAL | L: OKC
1983-04-15 | w: CHI | L: BOS
1983-04-15 | w: NYK | L: DET
1983-04-15 | w: POR | L: GOS
1983-04-15 | w: SAC | L: HOU
1983-04-15 | w: SAN | L: UTH
1983-04-15 | w: DEN | L: DAL
1983-04-15 | w: PHX | L: LAC
1983-04-15 | w: CLE | L: IND
1983-04-15 | w: PHL | L: BKN
1983-04-16 | w: ATL | L: MIL
1983-04-16 | w: WAS | L: DET
1983-04-16 | w: UTH | L: HOU
1983-04-16 | w: SAN | L: DAL
1983-04-16 | w: GOS | L: OKC
1983-04-17 | w: POR | L: LAL
1983-04-17 | w: NYK | L: CHI
1983-04-17 | w: PHX | L: LAC
1983-04-17 | w: CLE | L: WAS
1983-04-17 | w: DEN | L: SAC
1983-04-17 | w: BKN | L: IND
1983-04-17 | w: BOS | L: PHL
============ End of Regular Season ============
1983-04-19 | w: BOS | L: ATL
1983-04-19 | w: PHX | L: DEN
1983-04-20 | w: POR | L: OKC
1983-04-20 | w: NYK | L: BKN
1983-04-21 | w: NYK | L: BKN
1983-04-21 | w: DEN | L: PHX
1983-04-22 | w: ATL | L: BOS
1983-04-22 | w: POR | L: OKC
1983-04-24 | w: LAL | L: POR
1983-04-24 | w: BOS | L: ATL
1983-04-24 | w: DEN | L: PHX
1983-04-24 | w: PHL | L: NYK
1983-04-26 | w: LAL | L: POR
1983-04-26 | w: SAN | L: DEN
1983-04-27 | w: MIL | L: BOS
1983-04-27 | w: SAN | L: DEN
1983-04-27 | w: PHL | L: NYK
1983-04-29 | w: MIL | L: BOS
1983-04-29 | w: SAN | L: DEN
1983-04-29 | w: LAL | L: POR
1983-04-30 | w: PHL | L: NYK
1983-05-01 | w: PHL | L: NYK
1983-05-01 | w: POR | L: LAL
1983-05-01 | w: MIL | L: BOS
1983-05-02 | w: MIL | L: BOS
1983-05-02 | w: DEN | L: SAN
1983-05-03 | w: LAL | L: POR
1983-05-04 | w: SAN | L: DEN
1983-05-08 | w: PHL | L: MIL
1983-05-08 | w: LAL | L: SAN
1983-05-10 | w: SAN | L: LAL
1983-05-11 | w: PHL | L: MIL
1983-05-13 | w: LAL | L: SAN
1983-05-14 | w: PHL | L: MIL
1983-05-15 | w: LAL | L: SAN
1983-05-15 | w: MIL | L: PHL
1983-05-18 | w: PHL | L: MIL
1983-05-18 | w: SAN | L: LAL
1983-05-20 | w: LAL | L: SAN
1983-05-22 | w: PHL | L: LAL
1983-05-26 | w: PHL | L: LAL
1983-05-29 | w: PHL | L: LAL
1983-05-31 | w: PHL | L: LAL
============ End of Playoffs ============
